customer_id,customer_name,city,budget_min,budget_max,preferred_property_type
C001,David Dejesus,Chennai,4675584,8343049,Villa
C002,Jesse Garczynski,Perambalur,5188199,7840630,Apartment
C003,Thomas Cote,Bangalore,5817150,6247689,Apartment
C004,Christopher Johnson,Coimbatore,4864945,6389177,Apartment
C005,Jimmie Silkwood,Kochi,5313126,8673309,Apartment
C006,Amanda Neal,Hosur,5230265,9301318,Apartment
C007,Rebecca Barnes,Trichy,5637801,8842454,Apartment
C008,Margaret Thelen,Chennai,5377776,9287708,Apartment
C009,Kelly Edwards,Perambalur,5507481,7826945,Villa
C010,Joan Kenney,Bangalore,5848093,7159804,Villa
C011,Tyler Gage,Coimbatore,5229677,9219661,Villa
C012,Jerome Manning,Kochi,4802953,7786298,Villa
C013,Paul Guerra,Hosur,4952027,9450919,Villa
C014,George Gaines,Trichy,5997199,8157609,Villa
C015,Joseph Elmore,Chennai,5593920,8343604,Commercial
C016,Adam Crow,Perambalur,5275754,8965763,Commercial
C017,Charles Horton,Bangalore,4510570,8059555,Commercial
C018,Maria Kieffer,Coimbatore,5637958,7250787,Commercial
C019,Mary Bass,Kochi,4900639,8675506,Commercial
C020,Elizabeth Hommel,Hosur,5094498,6362653,Commercial
C021,Marcus Trahern,Trichy,5201697,6832212,Commercial
C022,Grace Richardson,Chennai,4958296,7204028,Plot
C023,Le Bare,Perambalur,5744620,7630347,Plot
C024,Eva Petrie,Bangalore,4701719,9497210,Plot
C025,Josefina Herring,Coimbatore,5360106,6449700,Plot
C026,Shawna Aaronson,Kochi,5779235,7832052,Plot
C027,Jeffrey Bess,Hosur,4926122,9321497,Plot
C028,Kristy Perez,Trichy,5052600,7057509,Farmhouse
C029,Bernice Klauer,Chennai,5265195,6227278,Farmhouse
C030,Albert Vick,Perambalur,5187452,7092473,Farmhouse
C031,George Villarreal,Bangalore,5904078,7089001,Farmhouse
C032,Edward Paradee,Coimbatore,5822318,9461316,Farmhouse
C033,Guillermo Moore,Kochi,5355673,8781414,Farmhouse
C034,Eileen Marron,Hosur,5854335,6622530,Farmhouse
C035,Neil Marable,Trichy,4800739,6973700,Farmhouse
C036,Eleanor Sampson,Chennai,5614286,8186793,Farmhouse
C037,Adrian Cullen,Perambalur,4528268,7698610,Farmhouse
C038,Brenda Rowe,Bangalore,5832909,9361432,Apartment
C039,Phillip Richburg,Coimbatore,4793678,8278382,Villa
C040,Joan Everett,Kochi,4981376,6736796,Commercial
C041,Joann Johnson,Hosur,4518272,6874081,Plot
C042,Joyce Malone,Trichy,5311701,8888878,Farmhouse
C043,Rosa Tiefenauer,Chennai,5678644,8002981,Apartment
C044,Rolando Turner,Perambalur,5306275,7462070,Villa
C045,Richard Gilbert,Bangalore,5743638,8089303,Commercial
C046,Eddie Barry,Coimbatore,5800545,7013242,Plot
C047,James Morales,Kochi,5544697,7737311,Farmhouse
C048,Jan Howard,Hosur,5132937,6986198,Apartment
C049,Susan Odell,Trichy,5919795,8429298,Villa
C050,Jay Cook,Chennai,5542175,7305625,Commercial
C051,Lucy Fernandez,Perambalur,5364319,6858412,Plot
C052,Jason James,Bangalore,5762535,9311477,Farmhouse
C053,Claudia Parilla,Coimbatore,5801480,7626278,Apartment
C054,Irene Janzen,Kochi,5495021,6204288,Villa
C055,Andre Hart,Hosur,5316584,7323912,Commercial
C056,Reginald Copley,Trichy,4786468,9193518,Plot
C057,Hugo Beer,Chennai,5789689,9196416,Farmhouse
C058,Bobbie Carpenter,Perambalur,4969772,9465051,Apartment
C059,Nolan Herrera,Bangalore,4822325,9136442,Villa
C060,Ronald Dawson,Coimbatore,4873855,8695529,Commercial
C061,Richard Holdsworth,Kochi,5749156,7991336,Plot
C062,Charlotte Heard,Hosur,5305190,6224808,Farmhouse
C063,Christian Luhman,Trichy,4886952,8302508,Apartment
C064,Brenda Koch,Chennai,4800712,8499232,Villa
C065,Maria Hewett,Perambalur,5850704,7569859,Commercial
C066,Nellie Froedge,Bangalore,5526636,8320635,Plot
C067,Tyrone Sanders,Coimbatore,5472208,6982410,Farmhouse
C068,Christopher Mortenson,Kochi,5335815,8245321,Apartment
C069,Emily Widmer,Hosur,5581319,6468261,Villa
C070,Steve Grant,Trichy,4583439,7136754,Commercial
C071,Oscar Worm,Chennai,5662678,6592709,Plot
C072,Benjamin Wittman,Perambalur,5954346,7252091,Farmhouse
C073,Felipe Martin,Bangalore,5979420,7466885,Apartment
C074,Peter Pagel,Coimbatore,5569095,6313254,Villa
C075,Burton Carmichael,Kochi,5421853,7411687,Commercial
C076,Bridget Decena,Hosur,4742594,8103407,Plot
C077,Michael Williams,Trichy,4819627,8083673,Farmhouse
C078,Gregorio Henderson,Chennai,4943489,6931553,Apartment
C079,Sam Haugh,Perambalur,5061547,6847675,Villa
C080,John Barrett,Bangalore,5163168,8420178,Commercial
C081,Charles Garner,Coimbatore,4514431,8933389,Plot
C082,Carolyn Wade,Kochi,4990644,6449274,Farmhouse
C083,Gracie Foster,Hosur,5022703,8019655,Apartment
C084,James Packer,Trichy,5425162,6511488,Villa
C085,Arlene Brett,Chennai,5110267,7350846,Commercial
C086,Mark Lopez,Perambalur,4858399,7769672,Plot
C087,Helen Wendell,Bangalore,4655447,7678096,Farmhouse
C088,Luis Lawrence,Coimbatore,5149925,6576901,Apartment
C089,Fred Matson,Kochi,4685827,7840743,Villa
C090,Curtis Nolen,Hosur,4946585,8132492,Commercial
C091,Robert Hill,Trichy,5828319,6458734,Plot
C092,Matthew Moore,Chennai,5985666,8205512,Farmhouse
C093,Pablo Boyer,Perambalur,4548194,6997603,Apartment
C094,Georgia Tucker,Bangalore,4961310,7509321,Villa
C095,Richard Taylor,Coimbatore,5793385,6788014,Commercial
C096,Virginia Smothers,Kochi,5119008,7207387,Plot
C097,Tena Fowler,Hosur,5227599,8825147,Farmhouse
C098,John Glass,Trichy,5938844,6244544,Apartment
C099,Mark Ehrlich,Chennai,5239892,8998372,Villa
C100,Mildred Cannon,Perambalur,4681411,9011746,Commercial
C101,Christopher Wise,Bangalore,4923785,8925623,Plot
C102,Lisa Fontenot,Coimbatore,5771385,6768316,Farmhouse
C103,Judy Smith,Kochi,5926725,7304378,Apartment
C104,Aaron Biderman,Hosur,5104131,7790730,Villa
C105,Vincent Zoutte,Trichy,5799272,6801142,Commercial
C106,Gerry Delgado,Chennai,4683149,6458115,Plot
C107,James Iuliucci,Perambalur,5062572,9061123,Farmhouse
C108,Edward Hamilton,Bangalore,5427653,8142818,Apartment
C109,Ann Coleman,Coimbatore,5497426,8727670,Villa
C110,Paul Haig,Kochi,4954104,8290668,Commercial
C111,Lester Bechtol,Hosur,5220174,6842516,Plot
C112,Brian Amado,Trichy,5245801,8548628,Farmhouse
C113,Larry Cavazos,Chennai,5600119,6661487,Apartment
C114,Marietta Sturgeon,Perambalur,5119072,7165347,Villa
C115,Timothy Ringer,Bangalore,5046485,8148233,Commercial
C116,Annie Helder,Coimbatore,5323627,7657323,Plot
C117,Stephen Greene,Kochi,5951064,8970821,Farmhouse
C118,Sharon Lopez,Hosur,5037417,6470938,Apartment
