sale_id,property_id,sale_date,sale_price,buyer_name,payment_method
S001,P101,2/2/2025,6271541,Merle Ingram,Cash
S002,P102,2/3/2025,7500508,John Mayes,Bank Loan
S003,P103,2/4/2025,5812486,Carlos Wille,EMI
S004,P104,2/5/2025,8968866,Michael Bryant,Cheque
S005,P105,2/6/2025,5336196,Paula Douglas,Cash
S006,P106,2/7/2025,7239577,Michael Irving,Bank Loan
S007,P107,2/8/2025,4912856,Marcelle Campbell,EMI
S008,P108,2/9/2025,5150044,Glenda Leal,Cheque
S009,P109,2/10/2025,9207139,Walter Williams,Cash
S010,P110,2/11/2025,4723260,Vanessa Songer,Bank Loan
S011,P111,2/12/2025,5846572,Caitlin Mayhugh,EMI
S012,P112,2/13/2025,4727905,Peter Paris,Cheque
S013,P113,2/14/2025,4514857,Lionel Elsea,Cash
S014,P114,2/15/2025,7236819,Alice Elvin,Bank Loan
S015,P115,2/16/2025,6137583,Carolyn Bell,EMI
S016,P116,2/17/2025,5208319,Robert Stewart,Cheque
S017,P117,2/18/2025,6227418,Josefina Johnson,Cash
S018,P118,2/19/2025,6134350,Mary Abraham,Bank Loan
S019,P119,2/20/2025,4573874,Charles Williams,EMI
S020,P120,2/21/2025,6609599,Michael Mccombs,Cheque
S021,P121,2/22/2025,6312811,Janeen Crume,Cash
S022,P122,2/23/2025,7338539,Delores Parrish,Bank Loan
S023,P123,2/24/2025,6166061,Jim Blue,EMI
S024,P124,2/25/2025,7561983,Anthony Galvan,Cheque
S025,P125,2/26/2025,8683723,Gregory Watts,Cash
S026,P126,2/27/2025,8635938,Susan Kim,Bank Loan
S027,P127,2/28/2025,6663579,Virginia Jean,EMI
S028,P128,3/1/2025,7601841,Latosha Steiner,Cheque
S029,P129,3/2/2025,6943625,Nathanael Nielsen,Cash
S030,P130,3/3/2025,8883697,Ricky Tizon,Bank Loan
S031,P131,3/4/2025,7262775,Doris Ardon,EMI
S032,P132,3/5/2025,5867510,Elaine Pryor,Cheque
S033,P133,3/6/2025,7293379,Craig Nelson,Cash
S034,P134,3/7/2025,7145942,Estella Bynum,Bank Loan
S035,P135,3/8/2025,4896570,William Atherton,EMI
S036,P136,3/9/2025,7740061,Joseph Brown,Cheque
S037,P137,3/10/2025,7715671,Eric Brund,Cash
S038,P138,3/11/2025,5277607,Deon Kidd,Bank Loan
S039,P139,3/12/2025,7635120,Lisa Morris,EMI
S040,P140,3/13/2025,5459300,Jay Anderson,Cheque
S041,P141,3/14/2025,7576706,Lindsey Davila,Cash
S042,P142,3/15/2025,7816101,Robert Boynton,Bank Loan
S043,P143,3/16/2025,9347413,Gregory Stumpff,EMI
S044,P144,3/17/2025,5712178,Carol Waugh,Cheque
S045,P145,3/18/2025,6485404,John Bain,Cash
S046,P146,3/19/2025,9006603,Christopher Harris,Bank Loan
S047,P147,3/20/2025,7921901,Carla Ranieri,EMI
S048,P148,3/21/2025,4937911,Nathan Gonzalez,Cheque
S049,P149,3/22/2025,6521186,Betty Sellner,Cash
S050,P150,3/23/2025,5292000,Maria Isch,Bank Loan
S051,P151,3/24/2025,5289681,Jeremy Primus,EMI
S052,P152,3/25/2025,9094144,Tammy Alvarado,Cheque
S053,P153,3/26/2025,8808023,Kathleen Conner,Cash
S054,P154,3/27/2025,8770465,Michael Cantrell,Bank Loan
S055,P155,3/28/2025,5334479,William Lopez,EMI
S056,P156,3/29/2025,7284072,Christine Carnevale,Cheque
S057,P157,3/30/2025,7047868,Elizabeth Preister,Cash
S058,P158,3/31/2025,5433955,Mary Tillman,Bank Loan
S059,P159,4/1/2025,8079431,Matthew Womack,EMI
S060,P160,4/2/2025,6424050,Patrick Gaylord,Cheque
S061,P161,4/3/2025,7323680,Carson Hess,Cash
S062,P162,4/4/2025,6931665,Paula Linke,Bank Loan
S063,P163,4/5/2025,8602181,Cathy Griffin,EMI
S064,P164,4/6/2025,8072018,Margaret Towne,Cheque
S065,P165,4/7/2025,7675641,Guillermo Daniels,Cash
S066,P166,4/8/2025,4952795,Terry Parks,Bank Loan
S067,P167,4/9/2025,7501480,Curtis Matney,EMI
S068,P168,4/10/2025,9321751,Raleigh Holmes,Cheque
S069,P169,4/11/2025,8393940,James Saleado,Cash
S070,P170,4/12/2025,7447455,Brian Ferris,Bank Loan
S071,P171,4/13/2025,5834360,Patricia Tuplano,EMI
S072,P172,4/14/2025,6539548,Robert Jaynes,Cheque
S073,P173,4/15/2025,8345358,Pilar Brittain,Cash
S074,P174,4/16/2025,5105647,Enrique Daugherty,Bank Loan
S075,P175,4/17/2025,4984964,Amy Kennedy,EMI
S076,P176,4/18/2025,7331078,Rosalyn Wright,Cheque
S077,P177,4/19/2025,9088487,Mark Scott,Cash
S078,P178,4/20/2025,6941554,Mark Turner,Bank Loan
S079,P179,4/21/2025,6916995,Laura Ortiz,EMI
S080,P180,4/22/2025,7787714,Irvin Hubbard,Cheque
S081,P181,4/23/2025,6943853,Robert Danielson,Cash
S082,P182,4/24/2025,7785557,Edgar Salinas,Bank Loan
S083,P183,4/25/2025,8533536,Jeremy Thompson,EMI
S084,P184,4/26/2025,8060037,Lee Manning,Cheque
S085,P185,4/27/2025,8841461,Jennifer Herrera,Cash
S086,P186,4/28/2025,6542185,Ryan Hand,Bank Loan
S087,P187,4/29/2025,5752561,Freddie Smith,EMI
S088,P188,4/30/2025,6534091,William Fetterolf,Cheque
S089,P189,5/1/2025,6731143,David Knowles,Cash
S090,P190,5/2/2025,5519834,Peggy Campbell,Bank Loan
S091,P191,5/3/2025,9270947,Janice Markis,EMI
S092,P192,5/4/2025,5730063,Ted Peyton,Cheque
S093,P193,5/5/2025,5516731,Marcella Jose,Cash
S094,P194,5/6/2025,6727669,Winifred Miller,Bank Loan
S095,P195,5/7/2025,7330915,Christopher Johns,EMI
S096,P196,5/8/2025,4642467,William Kelly,Cheque
S097,P197,5/9/2025,7763923,Jeanette Sanpedro,Cash
S098,P198,5/10/2025,5238711,Harold Infante,Bank Loan
S099,P199,5/11/2025,7124214,Mary Brown,EMI
S100,P200,5/12/2025,7463347,Susan Brown,Cheque
